"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","One Step Beyond","(718) 317-6390","https://www.yellowpages.ca/staten-island-ny/mip/one-step-beyond-2064323","Physical Therapists","","","3936 Amboy Rd","Staten Island","NY","10308","https://www.yellowpages.com/search?search_terms=1&geo_location_terms=si"
"2. ","Fidelity First Mortgage","(718) 759-1035","https://www.yellowpages.ca/staten-island-ny/mip/fidelity-first-mortgage-462824356","Title Companies","http://www.bestrateone.com","","3974 Amboy Rd","Staten Island","NY","10308","https://www.yellowpages.com/search?search_terms=1&geo_location_terms=si"
"3. ","Capital One Bank","(718) 984-6542","https://www.yellowpages.ca/staten-island-ny/mip/capital-one-bank-461045460","Banks,Commercial & Savings Banks","http://capitalone.com","","150 Greaves Ln Ste S","Staten Island","NY","10308","https://www.yellowpages.com/search?search_terms=1&geo_location_terms=si"
"4. ","Beacon Of Hope House First - CLOSED","(718) 966-0113","https://www.yellowpages.ca/staten-island-ny/mip/beacon-of-hope-house-first-10786943","Apartments","","","56 Florence St","Staten Island","NY","10308","https://www.yellowpages.com/search?search_terms=1&geo_location_terms=si"
"5. ","USA 1 Furniture Repair Inc","(718) 948-8105","https://www.yellowpages.ca/staten-island-ny/mip/usa-1-furniture-repair-inc-462444888","","","","41 Driggs St","Staten Island","NY","10308","https://www.yellowpages.com/search?search_terms=1&geo_location_terms=si"
"6. ","Sake One","(718) 966-6168","https://www.yellowpages.ca/staten-island-ny/mip/sake-one-11805773","Restaurants","","","3972 Hylan Blvd","Staten Island","NY","10308","https://www.yellowpages.com/search?search_terms=1&geo_location_terms=si"
"7. ","One Step Ahead Dance Studio","(718) 663-1522","https://www.yellowpages.ca/staten-island-ny/mip/one-step-ahead-dance-studio-17021950","","http://onestepaheadsi.com","","4011 Hylan Blvd","Staten Island","NY","10308","https://www.yellowpages.com/search?search_terms=1&geo_location_terms=si"
"8. ","Your CPR Certification (New Life Savers)","(917) 600-0729","https://www.yellowpages.ca/brooklyn-ny/mip/your-cpr-certification-new-life-savers-509806306?lid=1001104171155","First Aid & Safety Instruction","http://www.newlifesavers.com","","1086 Broadway Apt 2","Brooklyn","NY","11221","https://www.yellowpages.com/search?search_terms=1&geo_location_terms=si"
"9. ","Medstop Pharmacy & Surgical Supplies","(718) 552-2278","https://www.yellowpages.ca/bronx-ny/mip/medstop-pharmacy-surgical-supplies-465561930?lid=194797778","Hospital Equipment & Supplies,Surgical Appliances & Supplies,Wheelchairs","http://www.medstoppharmacy.com","","1330 Jerome Ave","Bronx","NY","10452","https://www.yellowpages.com/search?search_terms=1&geo_location_terms=si"
"10. ","Old Book Shop.","(862) 345-7728","https://www.yellowpages.ca/morristown-nj/mip/old-book-shop-16612489?lid=1002151982508","Book Stores,Comic Books,Sample Cards & Books","https://www.oldbookshopmorristown.com","","4 John St","Morristown","NJ","07960","https://www.yellowpages.com/search?search_terms=1&geo_location_terms=si"
"11. ","Main Pharmacy","(862) 261-2070","https://www.yellowpages.ca/boonton-nj/mip/main-pharmacy-546372998?lid=1002075629933","Cosmetics & Perfumes,Pharmacies,Photo Finishing","http://www.boontonmainstreet.org","","203 W Main St","Boonton","NJ","07005","https://www.yellowpages.com/search?search_terms=1&geo_location_terms=si"
"12. ","Cardinal Camera","(848) 245-9500","https://www.yellowpages.ca/howell-township-nj/mip/cardinal-camera-574346585?lid=1002166319579","Photo Retouching & Restoration,Photographic Equipment-Repair,Video Equipment & Supplies","https://cardinalcamera.com","","4819 U.S. 9","Howell Township","NJ","07731","https://www.yellowpages.com/search?search_terms=1&geo_location_terms=si"
"13. ","Home Fair Camera","(914) 834-4564","https://www.yellowpages.ca/larchmont-ny/mip/home-fair-camera-1469180?lid=1000439569460","Photo Finishing,Document Imaging,Audio-Visual Creative Services","http://www.homefaircamera.com","","1330 Boston Post Rd","Larchmont","NY","10538","https://www.yellowpages.com/search?search_terms=1&geo_location_terms=si"
"14. ","Nutrition First - CLOSED","","https://www.yellowpages.ca/staten-island-ny/mip/nutrition-first-465553370","Nutritionists","","","4056 Amboy Rd","Staten Island","NY","10308","https://www.yellowpages.com/search?search_terms=1&geo_location_terms=si"
"15. ","Tier One Construction Management","(917) 946-1409","https://www.yellowpages.ca/staten-island-ny/mip/tier-one-construction-management-515360561","Building Contractors","","","26 Cardinal Ln","Staten Island","NY","10306","https://www.yellowpages.com/search?search_terms=1&geo_location_terms=si"
"16. ","First Transportation Inc","(718) 227-7200","https://www.yellowpages.ca/staten-island-ny/mip/first-transportation-inc-472476876","Transportation Providers","","","350 Lamoka Ave","Staten Island","NY","10312","https://www.yellowpages.com/search?search_terms=1&geo_location_terms=si"
"17. ","1 2 3 Garage Door Services","(718) 701-6789","https://www.yellowpages.ca/staten-island-ny/mip/1-2-3-garage-door-services-505367565","Garage Doors & Openers","","","3833 Richmond Ave","Staten Island","NY","10312","https://www.yellowpages.com/search?search_terms=1&geo_location_terms=si"
"18. ","Security One Investigation","(888) 658-4943","https://www.yellowpages.ca/staten-island-ny/mip/security-one-investigation-3899263","Private Investigators & Detectives","","","25 Putnam St","Staten Island","NY","10312","https://www.yellowpages.com/search?search_terms=1&geo_location_terms=si"
"19. ","Stop One","(347) 838-6007","https://www.yellowpages.ca/staten-island-ny/mip/stop-one-559351251","Gas Stations,Convenience Stores","https://stop-one-smoke-shop.business.site","","3896 Richmond Ave","Staten Island","NY","10312","https://www.yellowpages.com/search?search_terms=1&geo_location_terms=si"
"20. ","Tier 1 Drywall & Remodeling","(347) 884-1231","https://www.yellowpages.ca/staten-island-ny/mip/tier-1-drywall-remodeling-571557450","Handyman Services","https://tier1const.com","","38 Fairbanks Ave","Staten Island","NY","10306","https://www.yellowpages.com/search?search_terms=1&geo_location_terms=si"
"21. ","First Steps Center","(718) 844-1247","https://www.yellowpages.ca/staten-island-ny/mip/first-steps-center-459469868","Schools,Preschools & Kindergarten","","","47 Vanessa Ln","Staten Island","NY","10312","https://www.yellowpages.com/search?search_terms=1&geo_location_terms=si"
"22. ","Star One Express Corp","(718) 356-7618","https://www.yellowpages.ca/staten-island-ny/mip/star-one-express-corp-527718819","Convenience Stores","","","4203 Hylan Blvd","Staten Island","NY","10308","https://www.yellowpages.com/search?search_terms=1&geo_location_terms=si"
"23. ","Hong Kong Kei One","(718) 948-9700","https://www.yellowpages.ca/staten-island-ny/mip/hong-kong-kei-one-537198783","Chinese Restaurants,Caterers,Restaurants","http://www.hongkongkeione.com","","4207 Hylan Blvd","Staten Island","NY","10308","https://www.yellowpages.com/search?search_terms=1&geo_location_terms=si"
"24. ","One Spot","(718) 979-1940","https://www.yellowpages.ca/staten-island-ny/mip/one-spot-564251233","","","","146 Ardsley St","Staten Island","NY","10306","https://www.yellowpages.com/search?search_terms=1&geo_location_terms=si"
"25. ","41 Wellington CT","(718) 494-3267","https://www.yellowpages.ca/staten-island-ny/mip/41-wellington-ct-543618598","","","","41 Wellington Ct","Staten Island","NY","10314","https://www.yellowpages.com/search?search_terms=1&geo_location_terms=si"
"26. ","SOLUTIONS 1 INC","(718) 356-1963","https://www.yellowpages.ca/staten-island-ny/mip/solutions-1-inc-18752466","Consulting Engineers,Training Consultants,Electronic Equipment & Supplies-Repair & Service","","","165 Halpin Ave","Staten Island","NY","10312","https://www.yellowpages.com/search?search_terms=1&geo_location_terms=si"
"27. ","First Plumbing & Drain","(888) 864-6151","https://www.yellowpages.ca/staten-island-ny/mip/first-plumbing-drain-482412199","Plumbing-Drain & Sewer Cleaning,Plumbers,Plumbing Contractors-Commercial & Industrial","","","501 Richmond Hill Rd","Staten Island","NY","10314","https://www.yellowpages.com/search?search_terms=1&geo_location_terms=si"
"28. ","Square One (SI Mall)","(718) 494-4630","https://www.yellowpages.ca/staten-island-ny/mip/square-one-si-mall-456648524","Shoe Stores,Clothing Stores","http://squareonetheatre.com","","2655 Richmond Ave","Staten Island","NY","10314","https://www.yellowpages.com/search?search_terms=1&geo_location_terms=si"
"29. ","Forever 21","(718) 355-7397","https://www.yellowpages.ca/staten-island-ny/mip/forever-21-464746650","Women's Clothing,Clothing Stores,Women's Fashion Accessories","https://locations.forever21.com/us/stores/ny/statenisland/2655-richmond-ave?utm_medium=organic&utm_source=local&utm_campaign=other","","2655 Richmond Ave Ste 1040","Staten Island","NY","10314","https://www.yellowpages.com/search?search_terms=1&geo_location_terms=si"
"30. ","First Advanced Care Inc","(718) 554-0066","https://www.yellowpages.ca/staten-island-ny/mip/first-advanced-care-inc-544624284","","","","5180 Amboy Rd","Staten Island","NY","10312","https://www.yellowpages.com/search?search_terms=1&geo_location_terms=si"
